ID,¿Cúal es tu horario de trabajo normalmnete ?,¿Eres madrugador o nocturno?,¿Prefieres un sitio ruidoso o silencioso?,¿Cúal es tu nivel educativo?,¿Te gusta leer?,¿Te gusta ir al cine?,¿Practicas algun deporte o actividad recreativa?,¿Prefieres vivir con mascotas o sin mascotas?,¿Te gusta cocinar ?,¿Sigues alguna dieta?,¿Te gusta fumar?,¿Te visitan frecuentemente?,¿eres una persona ordenada o relajada ?,¿Qué generos de musica te gustan?,¿Acostumbras escuchar musica en volumen alto?,¿Tu plan perfecto seria tarde de pelis o salir a algun lugar a divertirte?,¿Tocas algun instrumento musical?
36,noche,nocturno,ruidoso,universidad,no,si,si,sin mascotas,no,si,si,no,ordenada,rock,si,salir,no
37,mañana,madrugador,silencioso,preparatoria,no,si,si,sin mascotas,si,no,no,no,ordenada,cumbia,no,salir,no
38,mañana,nocturno,ruidoso,secundaria,no,no,no,con mascotas,si,no,no,no,ordenada,rock,si,salir,si
39,noche,madrugador,ruidoso,universidad,no,si,no,sin mascotas,si,no,no,no,relajado,rock,si,pelis,no
40,noche,madrugador,silencioso,universidad,no,no,no,sin mascotas,si,no,no,no,relajado,pop,no,pelis,si
41,mañana,nocturno,ruidoso,universidad,no,si,no,con mascotas,si,no,no,no,ordenada,rock,si,pelis,no
42,mañana,madrugador,silencioso,secundaria,no,si,no,sin mascotas,si,no,no,no,ordenada,pop,no,pelis,si
43,tarde,nocturno,ruidoso,preparatoria,no,si,no,sin mascotas,no,si,si,si,ordenada,pop,no,salir,no
44,tarde,nocturno,ruidoso,universidad,si,si,si,con mascotas,no,si,si,si,relajado,cumbia,no,pelis,si
45,noche,madrugador,ruidoso,secundaria,no,si,si,con mascotas,no,si,no,no,relajado,cumbia,si,salir,no
46,tarde,nocturno,silencioso,preparatoria,no,no,no,sin mascotas,no,no,si,si,relajado,cumbia,si,pelis,no
47,tarde,nocturno,ruidoso,secundaria,no,si,no,con mascotas,si,si,no,no,relajado,cumbia,si,salir,no
48,mañana,nocturno,ruidoso,universidad,no,si,no,con mascotas,no,si,no,no,relajado,cumbia,si,salir,no
49,mañana,madrugador,silencioso,preparatoria,si,no,si,con mascotas,no,si,si,no,relajado,pop,no,pelis,si
50,mañana,nocturno,ruidoso,universidad,si,no,no,sin mascotas,no,si,no,no,relajado,cumbia,si,pelis,no
51,noche,madrugador,ruidoso,universidad,no,no,si,sin mascotas,si,no,no,no,ordenada,salsa,no,pelis,si
52,mañana,nocturno,silencioso,universidad,si,no,no,sin mascotas,no,no,no,si,ordenada,rock,si,salir,no
53,noche,madrugador,ruidoso,preparatoria,no,no,no,sin mascotas,si,si,si,si,relajado,rock,no,pelis,si
54,mañana,nocturno,ruidoso,preparatoria,si,si,no,sin mascotas,si,no,si,no,ordenada,rock,si,pelis,si
55,mañana,nocturno,silencioso,universidad,no,no,no,sin mascotas,no,si,no,no,ordenada,cumbia,no,salir,no
56,mañana,madrugador,ruidoso,universidad,no,no,si,sin mascotas,no,si,no,no,ordenada,salsa,si,salir,no
57,noche,nocturno,silencioso,preparatoria,no,no,si,sin mascotas,no,si,no,si,ordenada,pop,no,pelis,si
58,noche,nocturno,ruidoso,secundaria,no,no,si,con mascotas,si,no,si,si,relajado,cumbia,si,pelis,no
59,noche,madrugador,silencioso,universidad,no,si,no,con mascotas,si,no,no,no,relajado,cumbia,si,salir,no
60,tarde,nocturno,silencioso,universidad,si,no,no,sin mascotas,si,si,no,si,relajado,cumbia,no,salir,no
61,noche,nocturno,ruidoso,secundaria,si,si,si,con mascotas,si,no,no,si,ordenada,electronica,si,pelis,no
62,tarde,nocturno,silencioso,preparatoria,si,si,si,con mascotas,no,no,si,si,relajado,rock,no,salir,no
63,mañana,madrugador,silencioso,secundaria,no,no,no,sin mascotas,no,si,si,no,relajado,salsa,no,salir,si
64,noche,madrugador,ruidoso,universidad,si,si,si,sin mascotas,si,si,si,no,relajado,cumbia,no,salir,si
65,tarde,nocturno,ruidoso,secundaria,no,no,no,con mascotas,si,no,si,si,relajado,electronica,si,pelis,no
66,noche,nocturno,ruidoso,secundaria,no,si,no,sin mascotas,si,no,si,si,ordenada,salsa,si,salir,no
67,mañana,madrugador,silencioso,universidad,si,no,si,con mascotas,si,no,si,no,relajado,rock,si,salir,si
68,noche,madrugador,ruidoso,preparatoria,si,si,no,sin mascotas,no,no,no,no,ordenada,salsa,si,salir,si
69,mañana,nocturno,silencioso,universidad,si,no,no,con mascotas,no,si,si,si,ordenada,salsa,si,salir,no
70,noche,madrugador,silencioso,secundaria,no,si,no,con mascotas,si,no,si,no,relajado,electronica,si,pelis,si
71,noche,madrugador,silencioso,universidad,no,no,no,sin mascotas,no,si,no,si,relajado,rock,si,pelis,si
72,mañana,nocturno,ruidoso,preparatoria,no,no,si,sin mascotas,no,no,si,no,relajado,pop,no,salir,si
73,mañana,madrugador,silencioso,secundaria,si,si,si,con mascotas,no,no,no,si,ordenada,rock,si,pelis,si
74,tarde,nocturno,ruidoso,preparatoria,no,si,no,sin mascotas,si,si,no,no,ordenada,pop,no,pelis,no
75,mañana,madrugador,silencioso,secundaria,no,si,no,sin mascotas,si,no,si,si,ordenada,cumbia,si,pelis,no
76,mañana,nocturno,silencioso,preparatoria,no,si,si,sin mascotas,no,no,si,no,relajado,electronica,no,salir,si
77,mañana,madrugador,silencioso,preparatoria,si,no,no,con mascotas,si,si,no,si,relajado,cumbia,no,salir,no
78,mañana,nocturno,ruidoso,secundaria,no,si,no,sin mascotas,no,no,no,no,relajado,rock,si,salir,no
79,noche,nocturno,silencioso,secundaria,no,si,si,sin mascotas,no,si,si,si,relajado,electronica,no,pelis,no
80,tarde,madrugador,silencioso,universidad,no,si,si,con mascotas,si,no,si,si,relajado,electronica,no,salir,si
81,mañana,madrugador,silencioso,secundaria,no,no,si,con mascotas,si,no,no,no,ordenada,cumbia,si,salir,si
82,tarde,nocturno,ruidoso,secundaria,si,si,si,con mascotas,no,si,si,si,relajado,salsa,no,salir,si
83,mañana,nocturno,silencioso,universidad,no,si,no,sin mascotas,si,no,no,si,relajado,cumbia,no,salir,no
84,tarde,nocturno,ruidoso,universidad,si,no,si,sin mascotas,si,no,no,si,ordenada,pop,no,pelis,si
85,noche,madrugador,silencioso,preparatoria,si,no,si,con mascotas,no,si,no,si,ordenada,rock,no,salir,si
86,tarde,nocturno,silencioso,universidad,no,si,no,con mascotas,no,si,no,no,relajado,salsa,si,salir,no
87,mañana,madrugador,silencioso,secundaria,si,no,si,sin mascotas,si,si,no,si,relajado,cumbia,si,salir,si
88,noche,madrugador,ruidoso,universidad,si,si,no,con mascotas,si,no,no,no,relajado,cumbia,si,salir,no
89,tarde,nocturno,silencioso,universidad,no,no,no,con mascotas,si,si,si,si,ordenada,cumbia,no,salir,no
90,noche,madrugador,silencioso,secundaria,no,si,no,con mascotas,no,si,no,no,ordenada,pop,no,salir,no
91,mañana,nocturno,ruidoso,universidad,si,si,no,con mascotas,no,no,si,si,ordenada,rock,no,pelis,no
92,noche,madrugador,silencioso,preparatoria,no,no,no,sin mascotas,si,si,no,no,ordenada,cumbia,si,salir,no
93,mañana,madrugador,ruidoso,secundaria,si,si,si,sin mascotas,si,si,si,no,ordenada,cumbia,no,salir,si
94,tarde,madrugador,ruidoso,universidad,no,si,si,sin mascotas,si,no,si,no,ordenada,pop,no,salir,si
95,noche,madrugador,silencioso,secundaria,no,si,si,con mascotas,no,si,no,si,relajado,pop,no,pelis,si
96,mañana,madrugador,ruidoso,preparatoria,si,si,si,sin mascotas,no,no,si,si,ordenada,rock,si,salir,si
97,tarde,nocturno,silencioso,universidad,no,si,no,sin mascotas,si,si,no,si,ordenada,rock,no,pelis,no
98,mañana,madrugador,silencioso,universidad,si,si,si,sin mascotas,si,si,no,si,relajado,rock,no,salir,si
99,mañana,nocturno,ruidoso,universidad,si,si,no,sin mascotas,si,no,si,no,ordenada,rock,no,pelis,no
100,tarde,nocturno,ruidoso,preparatoria,si,si,no,sin mascotas,si,si,si,si,relajado,pop,si,salir,no
101,noche,madrugador,silencioso,preparatoria,si,no,si,con mascotas,si,no,si,si,relajado,pop,no,pelis,no
102,mañana,nocturno,silencioso,preparatoria,si,no,no,sin mascotas,si,si,si,si,ordenada,cumbia,si,pelis,no
103,noche,madrugador,silencioso,preparatoria,no,si,no,con mascotas,no,no,no,si,ordenada,electronica,no,pelis,no
104,mañana,madrugador,ruidoso,preparatoria,no,no,si,con mascotas,no,si,si,si,ordenada,salsa,si,salir,no
105,tarde,madrugador,silencioso,secundaria,no,no,no,con mascotas,si,si,no,si,ordenada,cumbia,si,salir,no
106,mañana,nocturno,silencioso,secundaria,no,no,si,con mascotas,si,no,no,si,ordenada,rock,si,pelis,si
107,tarde,madrugador,ruidoso,universidad,si,no,no,con mascotas,si,si,si,si,ordenada,pop,no,salir,si
108,mañana,madrugador,silencioso,universidad,no,si,no,sin mascotas,no,no,no,si,relajado,salsa,si,pelis,si
109,mañana,nocturno,ruidoso,preparatoria,si,si,no,con mascotas,si,si,si,no,ordenada,cumbia,no,salir,si
110,tarde,madrugador,silencioso,secundaria,no,no,si,sin mascotas,no,no,si,no,relajado,electronica,si,salir,si
111,mañana,nocturno,ruidoso,universidad,no,si,no,con mascotas,si,no,si,no,ordenada,pop,si,pelis,si
112,mañana,nocturno,silencioso,secundaria,si,si,si,con mascotas,no,no,si,no,relajado,rock,no,pelis,no
113,mañana,nocturno,ruidoso,secundaria,no,no,si,sin mascotas,si,si,no,no,relajado,rock,no,pelis,si
114,mañana,nocturno,silencioso,secundaria,no,no,no,con mascotas,no,no,si,no,relajado,rock,si,salir,no
115,mañana,nocturno,silencioso,secundaria,si,no,no,sin mascotas,no,no,si,no,relajado,electronica,no,pelis,no
116,noche,madrugador,silencioso,secundaria,no,si,no,con mascotas,no,si,si,si,relajado,cumbia,si,salir,no
117,mañana,nocturno,silencioso,preparatoria,si,no,no,con mascotas,no,no,si,no,ordenada,electronica,no,salir,si
118,mañana,nocturno,silencioso,preparatoria,si,si,no,sin mascotas,si,no,no,si,ordenada,electronica,si,pelis,no
119,mañana,madrugador,ruidoso,secundaria,no,no,si,sin mascotas,no,si,no,no,relajado,pop,si,salir,no
120,tarde,madrugador,ruidoso,secundaria,si,no,si,sin mascotas,si,si,si,no,ordenada,rock,si,pelis,no
121,mañana,madrugador,silencioso,universidad,si,si,si,con mascotas,si,si,no,no,relajado,cumbia,no,pelis,si
122,noche,madrugador,ruidoso,universidad,si,si,si,con mascotas,no,no,no,si,ordenada,cumbia,si,salir,no
123,tarde,nocturno,silencioso,preparatoria,si,no,si,sin mascotas,si,si,no,no,relajado,rock,si,pelis,si
124,noche,nocturno,ruidoso,secundaria,no,no,si,con mascotas,no,no,no,no,ordenada,salsa,no,pelis,no
125,mañana,madrugador,silencioso,universidad,si,no,no,con mascotas,si,no,no,si,ordenada,rock,no,pelis,si
126,mañana,nocturno,silencioso,secundaria,si,si,no,con mascotas,no,si,no,no,relajado,electronica,no,pelis,si
127,noche,madrugador,ruidoso,preparatoria,si,si,si,sin mascotas,no,si,si,no,relajado,rock,si,pelis,no
128,noche,nocturno,silencioso,secundaria,si,no,si,sin mascotas,no,si,no,no,ordenada,salsa,si,salir,no
129,noche,madrugador,silencioso,preparatoria,no,no,si,con mascotas,si,si,no,si,ordenada,cumbia,no,salir,si
130,mañana,nocturno,silencioso,secundaria,si,si,no,sin mascotas,no,si,si,no,ordenada,pop,no,pelis,no
131,tarde,madrugador,ruidoso,secundaria,no,no,si,sin mascotas,no,si,si,no,relajado,rock,si,pelis,no
132,noche,nocturno,ruidoso,universidad,no,si,si,sin mascotas,si,si,no,no,ordenada,cumbia,no,salir,no
133,noche,madrugador,ruidoso,universidad,no,no,si,con mascotas,si,si,no,no,ordenada,cumbia,si,salir,no
134,tarde,madrugador,ruidoso,secundaria,si,si,no,sin mascotas,si,no,si,si,relajado,salsa,si,pelis,no
135,noche,madrugador,ruidoso,universidad,si,si,no,con mascotas,si,si,no,si,relajado,pop,si,salir,no
136,tarde,madrugador,ruidoso,preparatoria,no,no,no,con mascotas,si,si,no,no,relajado,cumbia,no,salir,si
137,tarde,madrugador,silencioso,secundaria,no,si,si,sin mascotas,si,si,si,si,ordenada,cumbia,no,pelis,si
138,noche,nocturno,ruidoso,preparatoria,si,no,no,sin mascotas,si,si,si,si,relajado,electronica,si,salir,si
139,tarde,madrugador,silencioso,universidad,si,no,no,sin mascotas,si,no,no,no,ordenada,rock,si,salir,si
140,mañana,nocturno,ruidoso,universidad,no,si,no,con mascotas,si,si,si,no,relajado,rock,no,salir,no
141,mañana,madrugador,ruidoso,preparatoria,no,no,no,sin mascotas,si,no,no,no,relajado,pop,no,pelis,no
142,noche,nocturno,silencioso,secundaria,si,no,no,sin mascotas,no,no,no,no,relajado,pop,no,pelis,no
143,mañana,nocturno,ruidoso,preparatoria,no,no,si,con mascotas,no,si,no,si,ordenada,salsa,no,pelis,no
144,noche,nocturno,ruidoso,secundaria,si,no,si,sin mascotas,si,si,no,no,relajado,rock,no,pelis,no
145,tarde,madrugador,silencioso,universidad,si,si,si,con mascotas,si,no,si,si,ordenada,rock,no,pelis,no
146,mañana,madrugador,ruidoso,preparatoria,no,si,si,sin mascotas,si,si,si,si,ordenada,cumbia,si,salir,no
147,mañana,nocturno,silencioso,universidad,si,si,no,con mascotas,no,si,no,no,relajado,salsa,si,pelis,si
148,tarde,madrugador,silencioso,secundaria,no,si,no,con mascotas,no,si,si,si,relajado,salsa,si,pelis,no
149,noche,madrugador,ruidoso,secundaria,si,si,no,sin mascotas,no,no,no,si,ordenada,rock,si,salir,no
150,noche,madrugador,silencioso,secundaria,no,si,no,con mascotas,si,no,si,no,ordenada,salsa,si,salir,no
151,mañana,nocturno,silencioso,universidad,si,si,no,sin mascotas,no,no,si,si,relajado,pop,si,pelis,no
152,noche,madrugador,ruidoso,secundaria,si,no,no,sin mascotas,si,no,si,no,relajado,electronica,si,pelis,no
153,noche,madrugador,ruidoso,universidad,si,si,si,con mascotas,no,si,no,no,ordenada,cumbia,si,salir,si
154,noche,madrugador,ruidoso,universidad,si,no,no,con mascotas,si,si,si,si,relajado,salsa,no,pelis,no
155,tarde,nocturno,ruidoso,secundaria,no,si,si,con mascotas,si,si,no,si,relajado,salsa,si,salir,no
156,mañana,madrugador,ruidoso,universidad,si,no,si,sin mascotas,si,si,no,no,ordenada,salsa,si,salir,no
157,tarde,nocturno,silencioso,universidad,no,no,no,sin mascotas,si,no,si,no,ordenada,rock,si,salir,si
158,mañana,nocturno,ruidoso,preparatoria,si,si,si,sin mascotas,no,no,si,no,relajado,salsa,no,pelis,si
159,tarde,madrugador,ruidoso,secundaria,si,si,si,sin mascotas,si,si,no,si,relajado,pop,no,salir,no
160,tarde,nocturno,silencioso,preparatoria,no,no,si,sin mascotas,no,si,si,no,relajado,electronica,si,pelis,si
161,tarde,nocturno,ruidoso,preparatoria,no,no,si,sin mascotas,no,no,no,no,relajado,cumbia,si,pelis,si
162,mañana,nocturno,ruidoso,universidad,no,no,no,con mascotas,si,no,no,no,relajado,pop,si,salir,si
163,mañana,nocturno,ruidoso,secundaria,no,no,no,sin mascotas,no,si,si,si,ordenada,rock,no,salir,si
164,tarde,nocturno,ruidoso,secundaria,no,si,no,sin mascotas,si,si,si,no,relajado,salsa,no,pelis,no
165,noche,madrugador,ruidoso,preparatoria,no,si,no,sin mascotas,si,si,si,no,ordenada,salsa,no,salir,si
166,tarde,madrugador,ruidoso,universidad,si,no,no,con mascotas,no,si,no,si,ordenada,salsa,no,pelis,no
167,tarde,nocturno,silencioso,preparatoria,si,no,si,sin mascotas,si,no,no,si,relajado,pop,no,pelis,si
168,mañana,madrugador,silencioso,preparatoria,no,si,si,con mascotas,no,si,si,si,relajado,cumbia,si,salir,si
169,noche,madrugador,silencioso,secundaria,si,no,si,sin mascotas,si,si,si,no,ordenada,electronica,si,pelis,si
170,tarde,nocturno,silencioso,secundaria,no,si,no,sin mascotas,no,no,no,no,relajado,electronica,si,pelis,si
171,tarde,nocturno,ruidoso,universidad,no,si,si,con mascotas,si,si,si,no,relajado,electronica,si,salir,no
172,noche,nocturno,ruidoso,preparatoria,no,si,si,sin mascotas,no,si,si,no,ordenada,salsa,si,pelis,no
173,mañana,madrugador,ruidoso,universidad,no,si,si,sin mascotas,no,si,no,si,relajado,electronica,si,salir,no
174,mañana,madrugador,ruidoso,secundaria,no,no,no,con mascotas,no,si,no,no,relajado,cumbia,no,salir,no
175,tarde,madrugador,silencioso,secundaria,no,no,si,sin mascotas,si,si,no,si,relajado,pop,no,pelis,si
176,tarde,nocturno,ruidoso,secundaria,si,si,si,con mascotas,no,si,si,si,relajado,rock,no,pelis,no
177,mañana,nocturno,silencioso,universidad,si,no,si,con mascotas,si,si,no,si,ordenada,rock,no,pelis,si
178,mañana,madrugador,silencioso,universidad,no,no,no,sin mascotas,si,no,si,si,ordenada,rock,no,pelis,no
179,noche,madrugador,silencioso,universidad,no,no,no,con mascotas,si,si,si,si,relajado,electronica,no,salir,no
180,mañana,nocturno,ruidoso,universidad,no,no,si,sin mascotas,si,si,si,no,ordenada,pop,no,salir,no
181,noche,nocturno,ruidoso,secundaria,no,si,si,con mascotas,no,no,no,si,ordenada,salsa,si,pelis,no
182,noche,nocturno,silencioso,universidad,no,no,si,con mascotas,no,no,no,si,ordenada,salsa,no,pelis,no
183,tarde,nocturno,silencioso,preparatoria,si,si,no,sin mascotas,no,no,no,si,ordenada,pop,si,salir,si
184,mañana,madrugador,silencioso,universidad,si,no,no,sin mascotas,si,no,si,no,ordenada,salsa,si,salir,no
185,tarde,madrugador,ruidoso,universidad,si,no,si,con mascotas,si,no,si,no,ordenada,salsa,si,pelis,si
186,noche,madrugador,silencioso,secundaria,no,si,no,con mascotas,no,si,no,no,relajado,cumbia,si,pelis,no
187,tarde,madrugador,ruidoso,universidad,si,si,si,sin mascotas,si,si,no,si,relajado,electronica,si,pelis,si
188,mañana,madrugador,silencioso,preparatoria,si,no,no,sin mascotas,si,si,si,no,ordenada,salsa,no,salir,si
189,mañana,madrugador,silencioso,secundaria,si,no,si,con mascotas,no,si,no,no,ordenada,salsa,no,salir,no
190,mañana,madrugador,silencioso,preparatoria,no,no,si,con mascotas,no,no,no,no,ordenada,rock,no,salir,si
191,tarde,nocturno,ruidoso,secundaria,no,si,si,sin mascotas,si,si,no,no,ordenada,electronica,si,salir,si
192,noche,madrugador,ruidoso,preparatoria,si,no,si,sin mascotas,no,si,no,si,relajado,pop,no,pelis,si
193,noche,madrugador,ruidoso,secundaria,no,si,si,sin mascotas,no,si,si,si,relajado,rock,no,pelis,si
194,tarde,madrugador,ruidoso,universidad,si,si,no,con mascotas,si,no,no,si,relajado,electronica,si,salir,si
195,tarde,madrugador,silencioso,preparatoria,si,no,si,sin mascotas,no,no,no,si,relajado,salsa,no,pelis,si
196,noche,nocturno,ruidoso,universidad,no,si,si,sin mascotas,si,si,si,si,ordenada,cumbia,si,salir,si
197,tarde,nocturno,silencioso,preparatoria,si,no,si,con mascotas,no,no,no,no,ordenada,salsa,si,salir,si
198,tarde,nocturno,silencioso,preparatoria,si,no,no,con mascotas,si,si,no,si,relajado,electronica,si,salir,si
199,noche,nocturno,ruidoso,universidad,no,no,no,con mascotas,no,si,no,no,relajado,salsa,no,salir,si
200,tarde,madrugador,ruidoso,secundaria,no,no,no,con mascotas,si,si,no,no,relajado,cumbia,si,salir,no
201,mañana,madrugador,ruidoso,secundaria,si,si,si,con mascotas,si,si,si,no,relajado,pop,no,salir,no
202,mañana,madrugador,silencioso,universidad,si,si,si,sin mascotas,si,si,si,si,ordenada,rock,si,pelis,si
203,tarde,madrugador,silencioso,preparatoria,si,no,no,con mascotas,si,si,no,no,ordenada,electronica,si,salir,si
204,noche,nocturno,ruidoso,universidad,si,no,si,sin mascotas,no,no,si,no,relajado,rock,no,pelis,si
205,noche,madrugador,silencioso,universidad,no,no,si,con mascotas,si,no,si,si,ordenada,electronica,no,salir,si
206,mañana,madrugador,silencioso,universidad,no,no,no,sin mascotas,no,si,no,si,ordenada,electronica,si,salir,si
207,noche,madrugador,silencioso,universidad,no,no,si,sin mascotas,si,no,no,si,relajado,cumbia,no,pelis,si
208,noche,madrugador,ruidoso,universidad,si,no,si,sin mascotas,si,si,si,si,ordenada,pop,no,salir,no
209,mañana,madrugador,ruidoso,secundaria,si,no,no,sin mascotas,no,si,no,si,relajado,electronica,no,pelis,no
210,mañana,madrugador,silencioso,preparatoria,no,no,si,sin mascotas,no,si,no,no,ordenada,salsa,si,pelis,no
211,mañana,madrugador,silencioso,secundaria,no,si,si,con mascotas,si,si,si,si,ordenada,cumbia,si,salir,si
212,tarde,madrugador,ruidoso,secundaria,no,si,no,sin mascotas,no,si,no,si,ordenada,cumbia,no,pelis,no
213,noche,madrugador,ruidoso,preparatoria,si,si,si,sin mascotas,si,si,no,no,relajado,cumbia,si,pelis,no
214,noche,nocturno,silencioso,secundaria,si,no,si,con mascotas,si,no,no,no,relajado,rock,no,pelis,no
215,tarde,madrugador,ruidoso,universidad,no,no,no,sin mascotas,si,si,si,si,relajado,salsa,si,salir,si
216,noche,madrugador,ruidoso,secundaria,no,no,si,sin mascotas,si,no,no,si,ordenada,rock,si,pelis,si
217,tarde,madrugador,silencioso,preparatoria,si,si,si,con mascotas,si,si,no,no,ordenada,cumbia,si,pelis,si
218,tarde,nocturno,silencioso,universidad,si,si,no,con mascotas,no,si,no,no,ordenada,cumbia,si,salir,si
219,tarde,madrugador,silencioso,secundaria,si,no,si,sin mascotas,no,no,si,no,ordenada,cumbia,si,pelis,si
220,mañana,madrugador,silencioso,universidad,no,si,si,sin mascotas,si,no,no,si,relajado,rock,no,pelis,no
221,tarde,madrugador,silencioso,secundaria,no,si,si,sin mascotas,si,no,si,si,ordenada,electronica,no,pelis,si
222,mañana,madrugador,ruidoso,preparatoria,no,no,no,con mascotas,si,no,si,si,relajado,electronica,si,pelis,no
223,noche,madrugador,silencioso,universidad,si,si,si,con mascotas,no,no,si,no,ordenada,salsa,si,pelis,si
224,noche,nocturno,silencioso,secundaria,si,no,si,con mascotas,no,si,si,no,relajado,salsa,no,pelis,no
225,tarde,nocturno,ruidoso,universidad,no,si,no,con mascotas,no,si,no,no,ordenada,cumbia,no,salir,no
226,tarde,nocturno,ruidoso,secundaria,si,no,no,con mascotas,si,no,no,si,relajado,pop,no,salir,no
227,noche,nocturno,silencioso,secundaria,no,no,si,sin mascotas,si,no,no,si,relajado,salsa,si,pelis,si
228,tarde,madrugador,ruidoso,secundaria,no,no,si,sin mascotas,si,si,no,no,ordenada,pop,si,salir,si
229,tarde,madrugador,silencioso,secundaria,no,no,no,con mascotas,no,no,no,si,ordenada,electronica,si,salir,si
230,tarde,madrugador,silencioso,secundaria,no,no,si,con mascotas,si,no,si,si,relajado,pop,si,pelis,si
231,tarde,madrugador,ruidoso,universidad,si,no,si,con mascotas,no,si,no,no,relajado,rock,no,salir,no
232,noche,nocturno,silencioso,secundaria,no,no,no,sin mascotas,si,si,no,si,ordenada,electronica,si,salir,si
